"K_C_V01_1","K_C_V01_2","K_C_V02_1","K_C_V02_2","K_C_V03_1","K_C_V03_2","K_C_V04_1","K_C_V04_2","K_C_V05_1","K_C_V05_2","K_C_V06_1","K_C_V06_2","K_C_V07_1","K_C_V07_2","K_C_V08_1","K_C_V08_2","K_C_V09_1","K_C_V09_2","NGANHKT_1","NGANHKT_2","TUOI_1","TUOI_2","VON_1","VON_2"
0.41,0.43,0.16,0.15,50.3,149.76,124.91,201.93,0,0.01,0.03,0.02,0.02,0.02,0.29,0.08,0.09,0.37,"5510","5510",10,10,258.96,258.96
0.33,0.21,0.16,-0.19,132.66,388.65,1310.02,-13130,0.45,0.36,0.58,0.56,0.13,0.13,0.71,0.49,0.19,0.15,"2910","2910",10,10,320,320
0.59,0.55,-14.23,-143.52,41070.22,107462.07,96058.42,-7564284.8,0,0,0,0,0.26,0.23,0.13,0.06,0.68,0.68,"3011","3011",15,15,9520,9520
0.17,0.16,0.07,0.09,83.52,75.83,8.34,4.27,0.25,0.24,0.38,0.36,0.1,0.14,6.32,6.02,0.3,0.29,"7500","7500",22,22,200,200
0.02,0.03,0.02,0.02,170.72,217.55,69.57,77.72,0.1,0.03,0.13,0.06,0.05,0.02,0.09,0.03,0.61,0.7,"4632","4632",11,11,430.49,430.49
0.63,0.48,-0.12,-0.01,125.23,22.63,514.79,131.86,0,0,0,0,0.04,0.04,0.94,0.89,0.02,0.01,"6810","6810",14,14,179.86,179.86
0.07,0.04,0.03,0.02,39.53,28.53,35.89,51.16,0.23,0.19,0.42,0.32,0.25,0.35,1.65,2.65,0.09,0.08,"1811","1811",27,27,1578.31,1578.31
0.2,0.25,0.15,0.19,131.42,115.9,180.74,178.73,0,0,0,0,0.05,0.04,0.32,0.29,0.09,0.09,"910","910",14,14,59700,59700
0.77,0.64,-0.1,0.07,503.51,322.59,4146.97,2851.2,0.02,0.03,0.07,0.08,0.01,0.02,0.01,0.04,0.14,0.14,"4101","4101",22,22,300,300
0.04,0.07,-0.02,0.01,419.89,352.8,380.42,339.13,0.15,0.13,0.22,0.21,0.01,0.05,0.02,0.07,0.49,0.43,"4210","4210",11,11,300,300
0.03,0.09,0.01,0.03,366.16,699.96,249.15,648.37,0,0,0.01,0.01,0.01,0.04,0.03,0.11,0.36,0.27,"6810","6810",15,15,5510.09,5510.09
0.11,0.26,0.02,0.17,151.3,115.99,74.83,102.87,0.26,0.29,0.77,0.67,0.01,0.01,0.02,0.03,0.26,0.14,"4649","4649",25,25,200,200
0.02,0.02,0.01,0.02,505.8,639.07,546.1,746.2,0.09,0.1,0.13,0.16,0,0,0,0.01,0.52,0.52,"6810","6810",14,14,15000,15000
0.97,-0.06,0.01,-0.09,3182.19,134.73,-1.04e+11,112.32,0.07,0.05,0.45,0.06,0.07,0.17,0.2,0.65,0.01,0.58,"8560","8560",29,29,200,200
0.84,0.84,0.41,0.37,559,462.36,3271.36,593.05,0,0,0,0,0,0,0.05,0.03,0.14,0.13,"5225","5225",26,26,189,189
0.09,0.11,-0.39,0.58,14464.61,72050.55,32556.56,141898.14,0,0,0,0,0,0,0,0.03,0.42,0.33,"810","810",14,14,2000,2000
0.06,0.04,1.01,1.75,593.37,446.72,984.99,1019.89,0,0.01,0.01,0.03,0,0.02,0.02,0.05,0.09,0.15,"6619","6619",27,27,200,200
0.14,0.07,0.01,0.02,501.94,435.05,390.63,305.68,0.02,0.03,0.07,0.08,0.01,0.01,0.04,0.02,0.33,0.41,"4299","4299",28,28,415,415
0.1,0.11,0.04,0.05,82.51,102.51,37.95,52.78,0.13,0.19,0.17,0.26,0.12,0.05,0.2,0.07,0.25,0.34,"4659","4659",14,14,252,252
0.07,0.09,-0.06,0,262.85,109.09,264.04,125.34,0,0,0.01,0,0.01,0.07,0.05,0.33,0.34,0.08,"6810","6810",27,27,300,300
0.95,0.78,-0.05,2.39,20806.4,76072.04,170506.02,-6609.47,0.02,0,0.06,0,0.13,0,0.49,0.01,0.16,0.62,"4101","4101",25,25,560,560
0.18,0.12,0.04,-0.01,224.3,150.06,309.84,196.31,0.05,0.11,0.18,0.37,0.01,0.04,0.02,0.08,0.2,0.15,"7110","7110",16,16,189,189
0.06,0.09,0.01,0.01,184.25,326.34,113.85,251.57,0.06,0.05,0.08,0.18,0.04,0.03,0.06,0.18,0.59,0.2,"2511","2511",29,29,400,400
0.01,0.01,0,0,15.99,10.22,12.68,7.85,0.23,0.32,0.43,0.53,0.01,0.04,0.05,0.13,0.37,0.23,"4773","4773",14,14,3000,3000
0.24,0.29,0.05,0.22,570.84,40.57,568.78,22.82,0.03,0.83,0.21,0.89,0.01,0.02,0.03,0.05,0.1,0.07,"6810","6810",14,14,185,185
0.13,0.11,0.02,0.01,45.92,62.72,178.24,164.73,0.59,0.53,0.82,0.72,0.01,0.04,0.02,0.07,0.1,0.15,"2750","2750",27,27,350,350
0.47,0.49,0.17,0.13,6127.88,7120.04,1063.54,4470.94,0.2,0.17,0.28,0.23,0.02,0.02,0.03,0.03,0.47,0.53,"5510","5510",14,14,1000,1000
0.06,0.06,0.01,0.01,73.95,69.02,4.67,3.52,0.59,0.55,0.75,0.71,0,0.01,0.01,0.16,0.14,0.12,"2813","2813",28,28,400,400
0.04,0.05,0,0.01,136.67,139.78,25.6,22.31,0.07,0,0.13,0.02,0.04,0.02,0.3,0.1,0.52,0.18,"7110","7110",18,18,679,679
0.13,0.09,0.05,0.27,146.42,915.8,9.79,52.11,0.1,0,0.17,0,0.02,0.01,0.06,0.23,0.48,0.43,"4690","4690",23,23,286,286
0.05,0.06,0,0,423.17,589.35,58.05,69.71,0.32,0.32,0.76,0.76,0.01,0.01,0.01,0.03,0.62,0.62,"4663","4663",13,13,312,312
0.18,0.14,0.14,0.1,93.65,118.37,66.44,100.6,0.23,0.05,0.3,0.06,0.01,0,0.02,0,0.48,0.32,"6810","6810",16,16,450,450
0.43,0.44,0.17,0.18,16.23,18.16,97.18,82.49,0.16,0.21,0.24,0.3,0.21,0.14,0.65,0.46,0.07,0.08,"1709","1709",14,14,360,360
0.05,0.07,0.01,0,251.95,275.23,189.18,200.36,0.03,0.04,0.05,0.07,0.14,0.13,0.19,0.17,0.57,0.56,"4390","4390",25,25,800,800
0.03,0.03,0.01,0.01,209.05,204.8,244.48,247.78,0.38,0.43,0.46,0.53,0.02,0.01,0.03,0.03,0.43,0.36,"4299","4299",28,28,600,600
0.15,0.25,0.05,0.05,991.14,319.95,1026.04,769.21,0.17,0.1,0.43,0.22,0.02,0.08,0.08,0.27,0.3,0.34,"6810","6810",14,14,9600,9600
0.07,0.06,0.05,0.04,32.55,27.25,35.98,24.69,0.57,0.53,0.81,0.67,0.03,0.03,0.06,0.05,0.06,0.19,"7110","7110",26,26,360,360
0.32,0.66,-0.18,10.26,15982.51,63897.96,44296.51,-247911.72,0,0,0,0,0,0.01,0,0,0.43,0.52,"4299","4299",24,24,600,600
0.02,0.02,-0.09,-0.09,189.11,164,152.67,165.09,0.16,0.17,0.26,0.29,0.03,0.01,0.05,0.03,0.39,0.39,"4649","4649",25,25,500,500
0.04,0.04,0.01,0.01,3893.32,5172.67,53.73,85.37,0.07,0.06,0.48,0.47,0.01,0.01,0.08,0.07,0.87,0.89,"8291","8291",28,28,3000,3000
0.63,0.65,0.31,-0.63,5570.85,1528,-3692.74,696.77,0.02,0.02,0.06,0.1,0.01,0,0.18,-0.11,0.13,0.11,"4100","4100",25,25,550,550
0.12,0.12,0,0,72.55,113.28,21.38,114.69,0.26,0.7,0.31,0.73,0.14,0.04,0.23,0.05,0.33,0.19,"6810","6810",14,14,550,550
0.13,0.05,0.09,0.01,726.54,592.89,235.26,18.51,0,0,0,0,0,0,0.35,0.18,0.29,0.36,"2410","2410",25,25,1500,1500
0,0.33,-0.02,-0.2,2218.17,2842.21,210.54,301.47,0.01,0.01,0.03,0.02,0,0.01,0.01,0.07,0.4,0.47,"5510","5510",22,22,700,700
0.05,0.07,0,0.01,40.72,54.92,20.49,30.05,0.41,0.32,0.5,0.4,0.04,0.02,0.05,0.02,0.38,0.45,"4520","4520",26,26,200,200
0.09,0.11,0.07,0.09,20.82,19.98,105.27,119.81,0.01,0.01,0.03,0.03,0.01,0.02,0.05,0.1,0.03,0.02,"6110","6110",11,11,72237,72237
0.3,0.32,0.14,0.16,13.46,17.1,88.11,98.31,0.02,0.01,0.08,0.01,0.06,0.1,0.18,0.34,0.05,0.06,"6120","6120",11,11,15000,15000
0.02,0.02,0,-0.01,0.6,0.39,0.77,0.46,0.41,0.42,0.59,0.89,0.27,0.04,5.01,0.62,0,0,"4773","4773",13,13,206,206
0.04,0.05,0.03,0.03,162.37,200.39,141.31,143.2,0.22,0.26,0.25,0.3,0.19,0.08,0.25,0.12,0.46,0.5,"4212","4212",11,11,666,666
0,0,-0.07,-0.08,217.93,327.43,280.02,483.08,0.1,0.1,0.18,0.19,0,0,0.01,0.01,0.06,0.08,"4322","4322",29,29,2100,2100
0.03,0.05,0,0,59.48,118.86,0.16,0.43,0.01,0,0.02,0,0.03,0.02,0.12,0.08,0.27,0.26,"4690","4690",23,23,230,230
0.41,0.28,0.11,-0.03,228.07,556.39,105.83,93.96,0,0,0.25,0.16,0,0,0.01,0.02,0.11,0.17,"4299","4299",17,17,200,200
0.68,0.62,-23.39,0.61,21218.77,5946.74,457858.67,6828.28,0,0,0,0,0.03,0.34,0.15,0.89,0.12,0.27,"5510","5510",16,16,200,200
0.08,0.07,0.02,0.02,100.57,105.49,49.37,56.84,0.2,0.3,0.32,0.42,0.02,0.01,0.04,0.02,0.38,0.4,"6810","6810",15,15,216,216
-0.2,0.03,1.4,2.79,621.8,1517.21,1101.98,767,0,0,0.02,0.03,0,0,0.35,0.35,0.04,0.07,"6810","6810",25,25,800,800
0.36,0.29,0.05,0.05,740.82,1428.71,209.7,5023.18,0.08,0.07,0.43,0.41,0,0.01,0.01,0.34,0.1,0.12,"4690","4690",23,23,700,700
-1.92,-0.33,-2.04,-0.34,997.63,761.23,45.92,167.74,0.81,0.8,0.84,0.83,0,0,0,0,0.14,0.16,"6810","6810",23,23,297.94,297.94
0.1,0.06,0.01,-0.02,298.44,193.95,30.69,122.24,0.13,0.09,0.43,0.27,0.02,0.04,0.06,0.13,0.3,0.34,"1311","1311",16,16,173.2,173.2
0.04,0.07,0.01,0,107.65,118.76,75.88,62.44,0.06,0.06,0.17,0.24,0.02,0.01,0.06,0.05,0.28,0.16,"4659","4659",14,14,222,222
0.06,0.05,0,0,15.36,14.63,41.03,34.86,0.03,0.02,0.13,0.09,0.07,0.09,0.36,0.41,0.07,0.07,"3512","3512",11,11,20905,20905
0.16,0.16,-0.26,0,309.25,138.67,233.22,55.68,0.21,0.24,0.74,0.75,0.01,0.01,0.04,0.04,0.06,0.06,"3092","3092",16,16,237,237
0.5,1,-0.01,0.09,7725.56,12003.81,-3460.82,2584.94,0.34,0.39,0.56,0.66,0,0,0,0,0.42,0.35,"1311","1311",16,16,267.4,267.4
0.05,0.05,0,0,165.15,199.37,24.81,22,0.05,0.01,0.11,0.02,0.01,0,0.03,0.01,0.55,0.6,"6810","6810",17,17,186.95,186.95
0.15,0.14,0.02,0.02,19.37,20.44,35.56,33.92,0.06,0.06,0.4,0.28,0.01,0.02,0.04,0.07,0.06,0.11,"2029","2029",18,18,1300,1300
0.07,0.07,0.01,0.01,9.51,8.23,49.59,42.64,0.03,0.02,0.11,0.09,0.08,0.08,0.36,0.4,0.03,0.03,"3512","3512",11,11,9892,9892
-0.01,-0.13,-0.04,-0.14,66.08,80.74,30.41,37.79,0.19,0.1,0.34,0.2,0.05,0.03,0.12,0.05,0.21,0.25,"126","126",11,11,1150,1150
